Raw Dates,Raw Steps,Raw Percents,Raw Sleep Dates,Raw Sleep Values,Corrected Dates,Corrected Steps,Corrected Sleep,PRCP,SNOW,TMAX,TMIN
9/6/2015,"6,676",53%,9/19/2015,9:07:02,9/6/2015,6676,0,0.01,0,54,39
9/7/2015,"8,919",71%,9/20/2015,6:19:43,9/7/2015,8919,8:33:23,0,0,63,39
9/8/2015,"10,818",86%,9/21/2015,7:20:30,9/8/2015,10818,6:22:38,0,0,72,41
9/9/2015,"7,809",62%,9/22/2015,7:10:52,9/9/2015,7809,0,0,0,78,44
9/10/2015,"10,137",81%,9/23/2015,6:43:52,9/10/2015,10137,7:11:51,0,0,81,44
9/11/2015,"12,249",98%,9/24/2015,6:33:26,9/11/2015,12249,8:01:03,0,0,86,47
9/12/2015,"14,364",100%,9/28/2015,7:07:27,9/12/2015,14364,6:24:30,0,0,89,47
9/13/2015,"13,239",100%,9/29/2015,6:06:02,9/13/2015,13239,5:14:20,0,0,89,47
9/14/2015,"13,903",100%,9/30/2015,7:16:43,9/14/2015,13903,7:26:59,0,0,56,46
9/15/2015,"9,157",72%,10/1/2015,7:37:01,9/15/2015,9157,7:06:09,0,0,58,39
9/16/2015,"15,658",100%,10/2/2015,7:10:12,9/16/2015,15658,7:10:09,0,0,61,37
9/17/2015,"9,276",72%,10/3/2015,7:01:55,9/17/2015,9276,7:05:25,0,0,57,42
9/18/2015,"10,302",80%,10/4/2015,7:58:10,9/18/2015,10302,7:20:16,0,0,66,42
9/19/2015,"9,208",71%,10/5/2015,8:42:34,9/19/2015,9208,9:07:02,0,0,72,37
9/20/2015,"9,194",71%,10/6/2015,6:54:02,9/20/2015,9194,6:19:43,0,0,78,51
9/21/2015,"12,055",93%,10/7/2015,6:39:31,9/21/2015,12055,7:20:30,0,0,73,41
9/22/2015,"10,467",81%,10/8/2015,6:48:49,9/22/2015,10467,7:10:52,0,0,71,36
9/23/2015,"17,241",100%,10/9/2015,7:26:46,9/23/2015,17241,6:43:52,0,0,72,35
9/24/2015,"13,636",100%,10/10/2015,7:26:56,9/24/2015,13636,6:33:26,0,0,74,42
9/25/2015,"7,482",57%,10/11/2015,6:30:03,9/25/2015,7482,0,0,0,80,38
9/26/2015,"7,630",59%,10/12/2015,8:23:11,9/26/2015,7630,0,0,0,70,41
9/27/2015,"12,604",98%,10/13/2015,7:01:23,9/27/2015,12604,0,0,0,66,29
9/28/2015,"13,425",100%,10/14/2015,7:29:01,9/28/2015,13425,7:07:27,0,0,69,30
9/29/2015,"19,140",100%,10/15/2015,6:58:38,9/29/2015,19140,6:06:02,0,0,74,33
9/30/2015,"10,854",82%,10/16/2015,7:42:18,9/30/2015,10854,7:16:43,0,0,78,36
10/1/2015,"9,524",72%,10/17/2015,6:33:44,10/1/2015,9524,7:37:01,0,0,74,45
10/2/2015,"14,540",100%,10/18/2015,5:45:43,10/2/2015,14540,7:10:12,0,0,72,38
10/3/2015,"18,119",100%,10/19/2015,7:08:03,10/3/2015,18119,7:01:55,0.01,0,70,46
10/4/2015,"5,148",38%,10/20/2015,7:15:03,10/4/2015,5148,7:58:10,0,0,69,36
10/5/2015,"12,400",92%,10/21/2015,6:42:22,10/5/2015,12400,8:42:34,0,0,71,35
10/6/2015,"10,995",82%,10/22/2015,6:45:48,10/6/2015,10995,6:54:02,0,0,72,37
10/7/2015,"10,593",79%,10/23/2015,5:50:16,10/7/2015,10593,6:39:31,0.11,0,64,52
10/8/2015,"11,279",84%,10/25/2015,6:46:51,10/8/2015,11279,6:48:49,0,0,63,53
10/9/2015,"8,388",62%,10/26/2015,8:08:02,10/9/2015,8388,7:26:46,0,0,72,45
10/10/2015,"8,390",62%,10/27/2015,8:01:12,10/10/2015,8390,7:26:56,0.04,0,73,47
10/11/2015,"7,757",57%,10/28/2015,7:07:28,10/11/2015,7757,6:30:03,0,0,62,42
10/12/2015,"13,411",100%,10/29/2015,6:53:51,10/12/2015,13411,8:23:11,0,0,69,38
10/13/2015,"16,800",100%,10/30/2015,6:34:28,10/13/2015,16800,7:01:23,0,0,71,42
10/14/2015,"7,945",58%,10/31/2015,7:30:58,10/14/2015,7945,7:29:01,0,0,68,35
10/15/2015,"15,743",100%,11/2/2015,6:03:10,10/15/2015,15743,6:58:38,0,0,70,39
10/16/2015,"8,858",64%,11/3/2015,8:05:03,10/16/2015,8858,7:42:18,0,0,70,39
10/17/2015,"9,812",71%,11/4/2015,6:35:29,10/17/2015,9812,6:33:44,0,0,73,40
10/18/2015,"15,606",100%,11/5/2015,6:58:31,10/18/2015,15606,5:45:43,0.01,0,55,42
10/19/2015,"7,876",57%,11/6/2015,7:39:28,10/19/2015,7876,7:08:03,0,0,55,41
10/21/2015,"14,117",100%,11/7/2015,6:59:54,10/20/2015,0,7:15:03,0,0,62,32
10/22/2015,"14,193",100%,11/8/2015,7:32:03,10/21/2015,14117,6:42:22,0,0,60,29
10/23/2015,"17,839",100%,11/9/2015,7:32:10,10/22/2015,14193,6:45:48,0,0,62,30
10/24/2015,"10,069",71%,11/10/2015,8:09:27,10/23/2015,17839,5:50:16,0,0,57,29
10/25/2015,"9,171",65%,11/11/2015,6:57:03,10/24/2015,10069,0,0,0,50,33
10/26/2015,"9,978",71%,11/12/2015,7:41:56,10/25/2015,9171,6:46:51,0.03,0,62,31
10/27/2015,"16,892",100%,11/13/2015,8:46:07,10/26/2015,9978,8:08:02,0.19,0,55,37
10/28/2015,"8,672",61%,11/14/2015,5:06:41,10/27/2015,16892,8:01:12,0,0,53,36
10/29/2015,"14,673",100%,11/15/2015,9:01:30,10/28/2015,8672,7:07:28,0.17,0,51,31
10/30/2015,"9,962",70%,11/16/2015,7:39:02,10/29/2015,14673,6:53:51,0.03,0,52,43
10/31/2015,"6,854",48%,11/17/2015,7:40:36,10/30/2015,9962,6:34:28,0.11,0,63,46
11/1/2015,0,0%,11/18/2015,7:02:48,10/31/2015,6854,7:30:58,0.65,0,59,47
11/2/2015,"10,661",77%,11/19/2015,7:56:41,11/1/2015,0,0,0.13,0,53,41
11/3/2015,"14,182",100%,11/20/2015,8:13:53,11/2/2015,10661,6:03:10,0.01,0,49,31
11/4/2015,"8,873",64%,11/21/2015,6:36:02,11/3/2015,14182,8:05:03,0,0,46,27
11/5/2015,"11,383",82%,11/22/2015,8:46:08,11/4/2015,8873,6:35:29,0,0,40,22
11/6/2015,"9,200",66%,11/23/2015,6:07:54,11/5/2015,11383,6:58:31,0.11,0,38,26
11/7/2015,"12,192",88%,11/24/2015,7:10:16,11/6/2015,9200,7:39:28,0,0,38,29
11/8/2015,"6,684",48%,11/25/2015,7:59:26,11/7/2015,12192,6:59:54,0.1,0,54,34
11/9/2015,"10,837",78%,11/26/2015,7:24:42,11/8/2015,6684,7:32:03,0.18,0,49,38
11/10/2015,"10,683",77%,11/27/2015,7:56:44,11/9/2015,10837,7:32:10,0.27,0,45,35
11/11/2015,"7,774",56%,11/28/2015,7:57:33,11/10/2015,10683,8:09:27,0,0,40,28
11/12/2015,"11,461",83%,11/29/2015,8:09:01,11/11/2015,7774,6:57:03,0,0,46,32
11/13/2015,"13,087",95%,11/30/2015,6:15:16,11/12/2015,11461,7:41:56,0.02,0,43,25
11/14/2015,"10,434",77%,12/1/2015,7:58:02,11/13/2015,13087,8:46:07,0,0,53,42
11/15/2015,"7,763",57%,12/2/2015,6:15:31,11/14/2015,10434,5:06:41,0.02,0,52,42
11/16/2015,"13,751",100%,12/3/2015,8:55:15,11/15/2015,7763,9:01:30,0,0,59,30
11/17/2015,"9,878",73%,12/4/2015,7:00:06,11/16/2015,13751,7:39:02,0.04,0.4,41,25
11/18/2015,"9,415",69%,12/5/2015,6:40:02,11/17/2015,9878,7:40:36,0.04,0,53,32
11/19/2015,"11,348",83%,12/6/2015,6:24:12,11/18/2015,9415,7:02:48,0,0,43,28
11/20/2015,"13,965",100%,12/7/2015,8:45:21,11/19/2015,11348,7:56:41,0,0,37,24
11/21/2015,"9,956",73%,12/8/2015,8:27:09,11/20/2015,13965,8:13:53,0,0,39,17
11/22/2015,"5,224",39%,12/9/2015,8:26:20,11/21/2015,9956,6:36:02,0,0,38,14
11/23/2015,"9,241",69%,12/10/2015,7:39:11,11/22/2015,5224,8:46:08,0,0,39,15
11/24/2015,"13,850",100%,12/11/2015,6:44:37,11/23/2015,9241,6:07:54,0,0,41,21
11/25/2015,"7,512",56%,12/13/2015,6:54:51,11/24/2015,13850,7:10:16,0.09,1.1,34,25
11/26/2015,"11,462",85%,12/14/2015,4:37:40,11/25/2015,7512,7:59:26,0,0,36,-9999
11/27/2015,"8,851",66%,12/15/2015,8:25:34,11/26/2015,11462,7:24:42,0,0,34,12
11/28/2015,"8,203",61%,12/16/2015,7:10:50,11/27/2015,8851,7:56:44,0,0,31,11
11/29/2015,"10,464",78%,12/17/2015,6:55:29,11/28/2015,8203,7:57:33,0,0,29,9
11/30/2015,"12,619",95%,12/18/2015,8:18:24,11/29/2015,10464,8:09:01,0,0,20,11
12/1/2015,"8,489",64%,12/19/2015,8:41:15,11/30/2015,12619,6:15:16,0,0,20,17
12/2/2015,"9,172",69%,12/22/2015,7:12:43,12/1/2015,8489,7:58:02,0,0,26,19
12/3/2015,"8,771",66%,12/23/2015,7:22:46,12/2/2015,9172,6:15:31,0.08,1,31,21
12/4/2015,"9,317",70%,12/29/2015,6:03:58,12/3/2015,8771,8:55:15,0.14,0,41,28
12/5/2015,"13,850",100%,12/30/2015,8:29:26,12/4/2015,9317,7:00:06,0.01,0,42,33
12/6/2015,"15,613",100%,12/31/2015,5:00:17,12/5/2015,13850,6:40:02,0.03,0,45,28
12/7/2015,"12,248",91%,1/3/2016,7:23:47,12/6/2015,15613,6:24:12,0.37,0,44,36
12/8/2015,"9,064",67%,1/4/2016,8:52:36,12/7/2015,12248,8:45:21,1.13,0,40,36
12/9/2015,"8,758",65%,1/5/2016,7:08:51,12/8/2015,9064,8:27:09,0.44,0,55,37
12/10/2015,"15,673",100%,1/6/2016,7:37:49,12/9/2015,8758,8:26:20,0.12,0,52,33
12/11/2015,"10,500",77%,1/7/2016,7:09:22,12/10/2015,15673,7:39:11,0.13,0,43,30
12/12/2015,"8,362",62%,1/8/2016,8:15:50,12/11/2015,10500,6:44:37,0,0,41,30
12/13/2015,"14,265",100%,1/9/2016,8:18:01,12/12/2015,8362,0,0.24,0.3,39,31
12/14/2015,"8,339",66%,1/10/2016,8:54:01,12/13/2015,14265,6:54:51,0,0,39,33
12/15/2015,"14,719",100%,1/11/2016,8:17:52,12/14/2015,8339,4:37:40,0,0,40,30
12/16/2015,"6,173",49%,1/12/2016,8:31:44,12/15/2015,14719,8:25:34,0.01,0.3,32,22
12/17/2015,"14,163",100%,1/13/2016,#VALUE!,12/16/2015,6173,7:10:50,0.13,2.1,34,7
12/18/2015,"10,349",81%,1/14/2016,7:07:11,12/17/2015,14163,6:55:29,0.33,3.2,26,8
12/19/2015,"8,216",64%,1/15/2016,7:29:33,12/18/2015,10349,8:18:24,0.24,0.9,35,26
12/20/2015,"6,928",54%,1/16/2016,7:46:57,12/19/2015,8216,8:41:15,0.06,1.1,32,27
12/21/2015,"9,455",74%,1/17/2016,7:02:48,12/20/2015,6928,0,0.08,1.4,33,26
12/22/2015,"7,099",56%,1/18/2016,7:18:30,12/21/2015,9455,0,0.42,5.6,33,29
12/23/2015,"7,238",57%,1/19/2016,6:31:43,12/22/2015,7099,7:12:43,0,0,31,22
12/24/2015,"7,964",62%,1/20/2016,8:22:18,12/23/2015,7238,7:22:46,0.24,4,31,26
12/25/2015,"5,678",44%,1/21/2016,7:00:36,12/24/2015,7964,0,0.1,1.3,31,26
12/26/2015,"3,978",31%,1/22/2016,7:04:09,12/25/2015,5678,0,0,0.1,29,22
12/27/2015,"6,526",51%,1/23/2016,8:43:49,12/26/2015,3978,0,0,0,28,21
12/28/2015,"7,484",59%,1/24/2016,7:52:40,12/27/2015,6526,0,0.1,1.6,26,21
12/29/2015,"8,692",70%,1/25/2016,7:58:17,12/28/2015,7484,0,0.07,1.1,26,22
12/30/2015,"9,594",77%,1/26/2016,6:24:13,12/29/2015,8692,6:03:58,0.01,0.2,24,13
12/31/2015,"12,789",100%,1/27/2016,8:16:20,12/30/2015,9594,8:29:26,0,0,23,11
1/1/2016,"6,357",51%,1/28/2016,6:57:58,12/31/2015,12789,5:00:17,0,0,21,2
1/2/2016,"12,288",99%,1/29/2016,7:44:08,1/1/2016,6357,0,0,0,18,-2
1/3/2016,"7,873",63%,1/30/2016,7:23:23,1/2/2016,12288,0,0,0,14,-3
1/4/2016,"10,170",82%,1/31/2016,7:49:33,1/3/2016,7873,7:23:47,0.09,1.3,23,-1
1/5/2016,"8,892",71%,2/1/2016,8:29:52,1/4/2016,10170,8:52:36,0,0,29,22
1/6/2016,"11,477",100%,2/2/2016,8:54:19,1/5/2016,8892,7:08:51,0,0,34,24
1/7/2016,"8,481",73%,2/3/2016,8:18:00,1/6/2016,11477,7:37:49,0.01,0,35,31
1/8/2016,"10,409",90%,2/4/2016,7:07:48,1/7/2016,8481,7:09:22,0,0,33,30
1/9/2016,"13,724",100%,2/5/2016,5:47:34,1/8/2016,10409,8:15:50,0,0,33,29
1/10/2016,"6,789",58%,2/6/2016,6:41:53,1/9/2016,13724,8:18:01,0,0,33,24
1/11/2016,"8,357",72%,2/7/2016,7:03:18,1/10/2016,6789,8:54:01,0,0,30,26
1/12/2016,"10,742",92%,2/8/2016,#VALUE!,1/11/2016,8357,8:17:52,0.04,0.2,28,22
1/13/2016,"11,072",95%,2/9/2016,7:15:53,1/12/2016,10742,8:31:44,0.29,0.1,35,28
1/14/2016,"9,754",84%,2/10/2016,8:09:13,1/13/2016,11072,0,0.17,0.2,38,31
1/15/2016,"11,390",98%,2/11/2016,7:37:45,1/14/2016,9754,7:07:11,0,0,32,21
1/16/2016,"7,085",61%,2/12/2016,8:04:21,1/15/2016,11390,7:29:33,0.01,0.2,29,11
1/17/2016,"6,074",53%,2/13/2016,7:49:31,1/16/2016,7085,7:46:57,0.28,2.7,33,29
1/18/2016,"6,544",57%,2/14/2016,8:06:34,1/17/2016,6074,7:02:48,0.22,0,36,32
1/19/2016,"8,210",72%,2/15/2016,8:01:34,1/18/2016,6544,7:18:30,0,0,35,31
1/20/2016,"9,947",87%,2/16/2016,8:02:08,1/19/2016,8210,6:31:43,0.4,0,37,31
1/21/2016,"13,474",100%,2/17/2016,6:59:51,1/20/2016,9947,8:22:18,0.03,0.3,36,28
1/22/2016,"6,861",59%,2/18/2016,7:24:14,1/21/2016,13474,7:00:36,0.28,0.4,36,31
1/23/2016,"7,754",67%,2/19/2016,7:39:34,1/22/2016,6861,7:04:09,0.1,0,44,30
1/24/2016,"10,314",89%,2/20/2016,6:45:24,1/23/2016,7754,8:43:49,0.16,0,37,31
1/25/2016,"11,523",100%,2/21/2016,9:20:46,1/24/2016,10314,7:52:40,0,0,36,26
1/26/2016,"8,222",71%,2/22/2016,7:43:42,1/25/2016,11523,7:58:17,0,0,33,26
1/27/2016,"6,801",59%,2/23/2016,7:11:27,1/26/2016,8222,6:24:13,0.01,0,39,31
1/28/2016,"14,955",100%,2/24/2016,8:35:32,1/27/2016,6801,8:16:20,0.01,0,38,33
1/29/2016,"9,066",77%,2/25/2016,7:24:21,1/28/2016,14955,6:57:58,0.36,0,44,32
1/30/2016,"6,173",53%,2/26/2016,8:07:34,1/29/2016,9066,7:44:08,0.16,0.4,35,30
1/31/2016,"10,202",87%,2/27/2016,8:05:52,1/30/2016,6173,7:23:23,0,0,37,24
2/1/2016,"8,504",73%,2/28/2016,7:36:14,1/31/2016,10202,7:49:33,0,0,33,26
2/2/2016,"8,387",72%,2/29/2016,7:59:27,2/1/2016,8504,8:29:52,0,0,33,23
2/3/2016,"12,602",100%,3/1/2016,6:53:32,2/2/2016,8387,8:54:19,0,0,31,17
2/4/2016,"10,187",87%,3/2/2016,8:33:11,2/3/2016,12602,8:18:00,0.11,1,29,16
2/5/2016,"12,826",100%,3/3/2016,6:47:27,2/4/2016,10187,7:07:48,0,0.1,33,25
2/6/2016,"6,998",59%,3/4/2016,6:56:56,2/5/2016,12826,5:47:34,0.2,0,46,31
2/7/2016,"6,460",55%,3/5/2016,8:21:48,2/6/2016,6998,6:41:53,0,0,42,28
2/8/2016,"8,732",74%,3/6/2016,7:24:13,2/7/2016,6460,7:03:18,0,0,38,24
2/9/2016,"8,161",69%,3/7/2016,7:39:19,2/8/2016,8732,0,0,0,46,28
2/10/2016,"12,325",100%,3/8/2016,8:23:41,2/9/2016,8161,7:15:53,0,0,49,28
2/11/2016,"11,961",100%,3/9/2016,8:05:11,2/10/2016,12325,8:09:13,0,0,39,29
2/12/2016,"12,434",100%,3/10/2016,8:01:06,2/11/2016,11961,7:37:45,0.06,0,43,33
2/13/2016,"8,118",68%,3/11/2016,7:59:11,2/12/2016,12434,8:04:21,0.14,0,50,37
2/14/2016,"5,859",49%,3/12/2016,6:39:25,2/13/2016,8118,7:49:31,0.08,0,45,36
2/15/2016,"10,126",85%,3/14/2016,7:14:06,2/14/2016,5859,8:06:34,0.02,0,48,37
2/16/2016,"12,020",100%,3/15/2016,8:20:28,2/15/2016,10126,8:01:34,0,0,54,44
2/17/2016,"10,486",88%,3/16/2016,8:00:33,2/16/2016,12020,8:02:08,0,0,52,39
2/18/2016,"8,803",74%,3/17/2016,5:55:09,2/17/2016,10486,6:59:51,0.03,0,49,39
2/19/2016,"8,199",69%,3/18/2016,4:59:24,2/18/2016,8803,7:24:14,0.18,0,48,34
2/20/2016,"12,859",100%,3/19/2016,3:57:39,2/19/2016,8199,7:39:34,0.07,0,47,33
2/21/2016,"5,244",44%,3/20/2016,4:56:06,2/20/2016,12859,6:45:24,0,0,45,26
2/22/2016,"9,189",77%,3/21/2016,8:03:35,2/21/2016,5244,9:20:46,0,0,42,25
2/23/2016,"7,957",67%,3/23/2016,8:17:15,2/22/2016,9189,7:43:42,0,0,42,25
2/24/2016,"9,079",76%,3/24/2016,7:41:15,2/23/2016,7957,7:11:27,0,0,44,23
2/25/2016,"8,236",69%,3/25/2016,6:16:31,2/24/2016,9079,8:35:32,0,0,46,28
2/26/2016,"6,955",59%,3/26/2016,7:55:46,2/25/2016,8236,7:24:21,0,0,51,27
2/27/2016,"7,464",63%,3/27/2016,7:20:10,2/26/2016,6955,8:07:34,0,0,54,28
2/28/2016,"8,743",74%,3/28/2016,7:30:52,2/27/2016,7464,8:05:52,0.01,0,55,36
2/29/2016,"8,984",83%,,,2/28/2016,8743,7:36:14,0,0,53,34
3/1/2016,"7,012",64%,,,2/29/2016,8984,7:59:27,0,0,48,31
3/2/2016,"8,077",74%,,,3/1/2016,7012,6:53:32,0.37,0,44,33
3/3/2016,"9,987",92%,,,3/2/2016,8077,8:33:11,0,0,51,35
3/4/2016,"11,647",100%,,,3/3/2016,9987,6:47:27,0.01,0,53,31
3/5/2016,"2,636",24%,,,3/4/2016,11647,6:56:56,0,0,59,29
3/6/2016,"6,169",56%,,,3/5/2016,2636,8:21:48,0.28,0,55,39
3/7/2016,"14,959",100%,,,3/6/2016,6169,7:24:13,0.39,0,51,34
3/9/2016,"2,114",19%,,,3/7/2016,14959,7:39:19,0.02,0,47,31
3/21/2016,"6,580",59%,,,3/8/2016,0,8:23:41,0,0,46,30
3/22/2016,"11,690",100%,,,3/9/2016,2114,8:05:11,0.46,0,44,31
3/23/2016,"6,700",60%,,,3/10/2016,0,8:01:06,0.06,0,49,35
3/24/2016,"15,592",100%,,,3/11/2016,0,7:59:11,0.12,0,51,30
3/25/2016,"13,308",100%,,,3/12/2016,0,6:39:25,0.32,0,48,34
3/26/2016,"6,939",61%,,,3/13/2016,0,0,0.11,0,47,30
3/27/2016,"8,326",75%,,,3/14/2016,0,7:14:06,0,0,46,32
3/28/2016,"19,673",100%,,,3/15/2016,0,8:20:28,0,0,46,30
3/29/2016,"10,130",90%,,,3/16/2016,0,8:00:33,0,0,47,30
3/30/2016,"6,974",62%,,,3/17/2016,0,5:55:09,0,0,46,25
3/31/2016,"10,030",89%,,,3/18/2016,0,4:59:24,0,0,49,22
4/1/2016,"7,415",66%,,,3/19/2016,0,3:57:39,0,0,55,29
4/2/2016,"21,003",100%,,,3/20/2016,0,4:56:06,-9999,0,-9999,-9999
4/3/2016,"9,208",80%,,,3/21/2016,6580,8:03:35,0.02,0,56,40
4/4/2016,"9,112",80%,,,3/22/2016,11690,0,0.82,0,44,33
4/5/2016,"12,591",100%,,,3/23/2016,6700,8:17:15,0.09,0,50,32
4/6/2016,"17,108",100%,,,3/24/2016,15592,7:41:15,0,0,50,37
4/7/2016,"12,674",100%,,,3/25/2016,13308,6:16:31,0,0,48,32
4/8/2016,"12,315",100%,,,3/26/2016,6939,7:55:46,0,0,51,30
4/9/2016,"13,884",100%,,,3/27/2016,8326,7:20:10,0.36,0,48,36
4/10/2016,"6,477",54%,,,3/28/2016,19673,7:30:52,0.06,0,46,30
4/11/2016,"9,398",79%,,,3/29/2016,10130,0,0,0,58,29
4/12/2016,"4,165",35%,,,3/30/2016,6974,0,0,0,63,28
4/13/2016,"7,767",65%,,,3/31/2016,10030,0,0,0,63,32
4/14/2016,"9,058",76%,,,4/1/2016,7415,0,0,0,67,34
4/15/2016,"8,887",75%,,,4/2/2016,21003,0,0,0,67,37
4/16/2016,"6,546",55%,,,4/3/2016,9208,0,0,0,64,36
4/17/2016,"12,067",100%,,,4/4/2016,9112,0,0.13,0,54,36
